特价,原价,药名,厂家,规格,效期
券后约 ￥12.73,￥13.40,甲磺酸倍他司汀片,卫材(中国)药业有限公司,规格：6mg*10片*3板(400盒/件),效期：2023-06-30
券后约 ￥30.30,￥31.90,阿奇霉素干混悬剂,辉瑞制药有限公司,规格：0.1g*6袋,效期：2024-10-31
券后约 ￥12.54,￥13.20,阿托伐他汀钙片,北京嘉林药业股份有限公司,规格：10mg*7片,效期：2023-03-31
券后约 ￥17.81,￥18.75,阿托伐他汀钙片,北京嘉林药业股份有限公司,规格：20mg*7片,效期：2023-04-30
券后约 ￥9.88,￥10.40,夫西地酸乳膏,澳美制药厂,规格：5g(5g:0.1g),效期：2023-06-30
券后约 ￥27.07,￥28.50,速效救心丸,天津中新药业集团股份有限公司第六中药厂,规格：40mg*120粒,效期：2022-09-30
券后约 ￥27.07,￥28.50,多糖铁复合物胶囊,优时比(珠海)制药有限公司(原许瓦兹,规格：150mg*10粒,效期：2022-11-30
券后约 ￥38.00,￥40.00,盐酸曲美他嗪片,施维雅(天津)制药有限公司,规格：20mg*30片,效期：2023-05-31
券后约 ￥27.17,￥28.60,孟鲁司特钠片,杭州默沙东制药有限公司,规格：10mg*5片,效期：2023-03-04
券后约 ￥13.11,￥13.80,妥布霉素滴眼液,s.a.ALCON-COUVREUR n.v.,规格：5ml,效期：2022-08-31
券后约 ￥11.86,￥12.48,萘敏维滴眼液(润洁)红,山东博士伦福瑞达制药有限公司,规格：10ml,效期：2022-08-04
券后约 ￥33.25,￥35.00,氯沙坦钾片,杭州默沙东制药有限公司,规格：50mg*7片,效期：2023-05-16
券后约 ￥32.25,￥33.95,非诺贝特胶囊,RECIPHARM FONTAINE,规格：200mg*10粒,效期：2022-12-31
券后约 ￥28.50,￥30.00,塞来昔布胶囊,辉瑞制药有限公司,规格：0.2g*6粒,效期：2022-10-31
券后约 ￥11.97,￥12.60,琥珀酸美托洛尔缓释片,阿斯利康制药有限公司,规格：47.5mg*7片,效期：2022-11-30
券后约 ￥50.82,￥53.50,玻璃酸钠滴眼液,URSAPHARM Arzneimittel GmbH,规格：10ml(0.1%),效期：2023-03-03
券后约 ￥42.90,￥45.16,维D钙咀嚼片,安士制药(中山)有限公司,规格：300mg*60片(分包装),效期：2021-12-09
券后约 ￥25.98,￥27.35,非洛地平缓释片,阿斯利康制药有限公司委托阿斯利康药业（中国）有限公司,规格：5mg*10片,效期：2023-04-30
券后约 ￥67.92,￥71.50,迈之灵片,德国礼达大药厂,规格：260mg*40片,效期：2022-04-30
券后约 ￥96.90,￥102.00,硫酸特布他林雾化液,AstraZeneca  AB,规格：2ml：5mg*20支,效期：2022-02-28
券后约 ￥6.60,￥6.95,乌洛托品溶液,西施兰(南阳)药业股份有限公司,规格：10ml,效期：2023-06-30
券后约 ￥21.85,￥23.00,苯磺酸氨氯地平片,辉瑞制药有限公司,规格：5mg*7片,效期：2025-04-30
券后约 ￥47.50,￥50.00,格列美脲片,赛诺菲(北京)制药有限公司,规格：2mg*15片,效期：2023-04-30
券后约 ￥43.94,￥46.25,磷酸西格列汀片,杭州默沙东制药有限公司,规格：100mg*7片,效期：2022-11-25
券后约 ￥181.45,￥191.00,左乙拉西坦片,优时比（珠海）制药有限公司,规格：0.5g*30片,效期：2022-10-31
券后约 ￥67.92,￥71.50,丙酸氟替卡松鼻喷雾剂,"Glaxo Wellcome,S.A.",规格：120喷,效期：2023-01-31
券后约 ￥25.22,￥26.55,戊酸雌二醇片,拜耳医药保健有限公司广州分公司,规格：1mg*21片,效期：2024-12-09
券后约 ￥47.50,￥50.00,氟哌噻吨美利曲辛片,H.Lundbeck A/S,规格：20片,效期：2023-02-28
券后约 ￥67.45,￥71.00,吸入用布地奈德混悬液,AstraZeneca Pty Ltd,规格：2ml：1mg*5支,效期：
券后约 ￥183.82,￥193.50,沙美特罗替卡松粉吸入剂,Glaxo Wellcome Production,规格：60泡*(50ug/250ug/泡),效期：2021-12-15
券后约 ￥64.59,￥67.99,多维元素片(29),惠氏制药有限公司,规格：60片(成人),效期：2022-09-12
券后约 ￥1.90,￥2.00,复方氨酚烷胺片,山东鲁西药业有限公司,规格：12片,效期：2022-10-17
券后约 ￥3.61,￥3.80,强力枇杷露,广西泰诺制药有限公司,规格：100ml,效期：2022-03-31
券后约 ￥13.99,￥14.73,灵方消毒液,重庆灵方生物技术有限公司,规格：100ml,效期：2022-02-09
券后约 ￥10.64,￥11.20,多维元素片(21),江西南昌桑海制药有限责任公司(原江西南昌桑海制药厂),规格：60片,效期：2022-07-31
券后约 ￥1.42,￥1.50,0.9%氯化钠注射液,山东科伦药业有限公司委托四川科伦药业股份有限公司,规格：500ml:4.5g（塑瓶）,效期：2022-07-31
券后约 ￥2.17,￥2.28,阿莫西林胶囊,石药集团中诺药业（石家庄）有限公司,规格：0.25g*10粒*3板,效期：2022-02-15
券后约 ￥1.34,￥1.41,复方氨酚烷胺胶囊,江苏平光制药(焦作)有限公司,规格：10粒,效期：2023-09-30
券后约 ￥1.42,￥1.50,炎可宁片,四川省三星堆制药有限公司,规格：0.36g*12片*2板(薄膜衣),效期：2023-07-31
券后约 ￥5.18,￥5.45,盐酸二甲双胍缓释片,悦康药业集团股份有限公司/悦康药业集团股份有限公司,规格：0.5g*30片(瓶装)(薄膜衣),效期：2022-08-31
券后约 ￥3.89,￥4.09,板蓝根颗粒,四川金药师制药有限公司,规格：10g*20袋,效期：2022-08-31
券后约 ￥8.46,￥8.90,维生素AD软胶囊,国药控股星鲨制药(厦门)有限公司,规格：100粒（A 10000；D2 1000）,效期：2022-03-31
券后约 ￥2.53,￥2.66,维生素C银花露,湖北大别山药业股份有限公司(原湖北大别山药业有限),规格：340ml,效期：2021-11-15
券后约 ￥8.64,￥9.10,阿法骨化醇软胶囊,广州白云山星群(药业)股份有限公司,规格：0.25ug*20粒,效期：2022-05-31
券后约 ￥1.03,￥1.08,0.9%氯化钠注射液,四川科伦药业股份有限公司,规格：250ml:2.25g(塑瓶),效期：2023-08-31
券后约 ￥764.75,￥805.00,阿胶,东阿阿胶股份有限公司,规格：250g,效期：2023-12-08
券后约 ￥5.42,￥5.70,盐酸二甲双胍缓释片,山东司邦得制药有限公司,规格：0.5g*30片,效期：2023-01-31
券后约 ￥1.08,￥1.14,盐酸左氧氟沙星胶囊,华润双鹤利民药业(济南)有限公司,规格：0.1g*12粒,效期：2022-08-31
券后约 ￥5.01,￥5.27,多酶片,四川菲德力制药有限公司,规格：100片(件装360),效期：2022-08-31
券后约 ￥0.88,￥0.93,50%葡萄糖注射液,湖北科伦药业有限公司,规格：20ml:10g(塑瓶),效期：2022-06-30
券后约 ￥0.54,￥0.57,盐酸左氧氟沙星片,四川科伦药业股份有限公司,规格：0.1g*6片,效期：2022-05-15
券后约 ￥2.82,￥2.97,维生素B6片,新乡市常乐制药有限责任公司,规格：10mg*100片,效期：2023-02-28
券后约 ￥5.51,￥5.80,复方板蓝根颗粒,四川康福来药业集团有限公司,规格：15g*20袋,效期：2022-07-31
券后约 ￥5.22,￥5.50,通脉颗粒,河北万岁药业有限公司,规格：10g*10袋,效期：2023-08-31
券后约 ￥4.20,￥4.42,氨基比林咖啡因片,华东医药(西安)博华制药有限公司,规格：100片,效期：2022-04-30
券后约 ￥1.22,￥1.28,维生素B1片,华中药业股份有限公司,规格：10mg*100片,效期：2023-06-30
券后约 ￥2.51,￥2.64,复方感冒灵片,广西吉民堂药业有限公司(原广西金诺制药有限公司),规格：100片(简装),效期：2022-01-31
券后约 ￥8.55,￥9.00,通宣理肺颗粒,湖北午时药业股份有限公司,规格：9g*12袋,效期：2022-03-31
券后约 ￥4.10,￥4.32,丹参注射液,国药集团宜宾制药有限责任公司,规格：10ml*5支,效期：
券后约 ￥2.91,￥3.06,尼美舒利分散片,湖北舒邦药业有限公司,规格：50mg*10片,效期：2023-04-30
券后约 ￥5.69,￥5.99,舒筋丸,内蒙古大唐药业股份有限公司,规格：3g*9丸,效期：2023-04-17
券后约 ￥1.31,￥1.38,消炎止咳片,中山市恒生药业有限公司,规格：0.3g*24片,效期：2022-07-31
券后约 ￥5.78,￥6.08,头孢克肟分散片,成都倍特药业股份有限公司(原成都倍特药业有限公司),规格：100mg*12片,效期：2022-04-08
券后约 ￥1.62,￥1.71,盐酸左氧氟沙星滴眼液,广东宏盈科技有限公司,规格：5ml：15mg(0.3%),效期：2022-07-17
券后约 ￥4.57,￥4.81,藿香清胃胶囊,吉林吉春制药股份有限公司,规格：0.32g*12粒*2板,效期：2023-09-30
券后约 ￥16.83,￥17.72,消渴丸,广州白云山中一药业有限公司,规格：30g(120丸),效期：2023-06-30
券后约 ￥11.88,￥12.50,阿胶益寿口服液,甘肃省金羚集团药业有限公司,规格：20ml*10支,效期：2023-08-31
券后约 ￥2.35,￥2.47,注射用赖氨匹林,国药集团国瑞药业有限公司,规格：0.9g,效期：2022-05-31
券后约 ￥6.79,￥7.15,荆防颗粒,四川彩虹制药有限公司,规格：15g*20袋,效期：2022-06-30
券后约 ￥2.08,￥2.19,三黄片,湖北亿雄祥瑞药业股份有限公司,规格：100片(糖衣)                                                 ,效期：2022-03-31
券后约 ￥0.88,￥0.93,乙酰螺旋霉素片,山东鲁西药业有限公司,规格：0.1g*12片(糖衣),效期：2023-07-09
,￥售罄,氯化钾注射液,湖北科伦药业有限公司,规格：10ml:1g(塑瓶),效期：
券后约 ￥5.43,￥5.72,复方氨酚烷胺片,长春海外制药集团有限公司,规格：12片,效期：2022-08-31
券后约 ￥5.70,￥6.00,复方板蓝根颗粒,广西圣特药业有限公司,规格：15g*20袋,效期：2022-09-30
券后约 ￥1.49,￥1.57,氨咖黄敏片,贵州省科晖制药厂,规格：18片,效期：2022-02-28
券后约 ￥4.21,￥4.43,感冒清热颗粒,河北万岁药业有限公司,规格：12g*10袋,效期：2023-09-30
券后约 ￥7.95,￥8.37,咳特灵胶囊,广州白云山医药集团股份有限公司白云山制药总厂,规格：30粒,效期：2022-07-31
券后约 ￥3.85,￥4.05,救尔心胶囊,哈尔滨天地药业有限公司,规格：0.45g*10粒*3板,效期：2022-05-31
券后约 ￥5.71,￥6.01,风油精,漳州水仙药业股份有限公司,规格：10ml,效期：2023-03-31
券后约 ￥0.95,￥1.00,0.9%氯化钠注射液,山东科伦药业有限公司委托四川科伦药业股份有限公司,规格：100ml:0.9g（塑瓶）,效期：2022-06-30
券后约 ￥0.55,￥0.58,氨咖黄敏胶囊,四川菲德力制药有限公司,规格：10粒,效期：2022-08-31
券后约 ￥0.88,￥0.93,5%葡萄糖注射液,四川科伦药业股份有限公司,规格：100ml:5g(塑瓶),效期：2023-02-28
券后约 ￥2.99,￥3.15,咽炎片,吉林双药药业集团有限公司,规格：0.25g*15片*2板(糖衣),效期：2022-08-31
券后约 ￥0.98,￥1.03,5%葡萄糖注射液,山东科伦药业有限公司委托四川科伦药业股份有限公司,规格：250ml:12.5g(塑瓶),效期：2022-06-30
券后约 ￥2.99,￥3.15,野木瓜片,广东和平药业有限公司,规格：0.4g*60片,效期：2023-02-04
券后约 ￥5.70,￥6.00,转移因子胶囊,金花企业(集团)股份有限公司西安金花制药厂,规格：3mg：100ug*24粒,效期：2022-08-31
券后约 ￥0.53,￥0.56,氨咖黄敏胶囊,四川依科制药有限公司,规格：10粒(6000板/件),效期：2022-07-31
券后约 ￥9.48,￥9.98,九味羌活颗粒,成都永康制药有限公司,规格：5g*12袋,效期：2022-05-31
券后约 ￥1.22,￥1.28,利巴韦林注射液,国药集团容生制药有限公司,规格：1ml:100mg*10支,效期：2022-01-31
券后约 ￥4.10,￥4.32,盐酸雷尼替丁胶囊,苏州弘森药业股份有限公司,规格：0.15g*30粒,效期：2023-08-31
券后约 ￥4.15,￥4.37,氧氟沙星凝胶,黑龙江天龙药业有限公司,规格：20g,效期：2022-07-31
券后约 ￥0.98,￥1.03,10%葡萄糖注射液,四川科伦药业股份有限公司,规格：250ml:25g(塑瓶),效期：2023-06-30
券后约 ￥5.84,￥6.15,头孢克肟胶囊,成都倍特药业股份有限公司(成都倍特药业有限公司),规格：100mg*12粒,效期：2021-11-24
券后约 ￥1.62,￥1.71,麻杏止咳片,甘肃中天金丹药业有限公司,规格：0.26g*24片(薄膜衣),效期：2022-08-31
券后约 ￥4.32,￥4.55,克拉霉素分散片,四川省旺林堂药业有限公司,规格：0.25g*6片,效期：2022-08-31
券后约 ￥7.22,￥7.60,振源片,吉林省东北亚药业股份有限公司,规格：25mg*24片,效期：2023-04-30
券后约 ￥4.51,￥4.75,氢溴酸右美沙芬糖浆,上海美优制药有限公司,规格：100ml,效期：2022-04-01
券后约 ￥4.27,￥4.50,金银花露,湖北汇中制药股份有限公司,规格：340ml,效期：2022-04-30
券后约 ￥5.22,￥5.50,氢溴酸右美沙芬片,广州白云山光华制药股份有限公司,规格：15mg*12片*2板,效期：2022-04-30
券后约 ￥0.94,￥0.99,0.9%氯化钠注射液,四川科伦药业股份有限公司,规格：100ml:0.9g(塑瓶),效期：2023-05-31
券后约 ￥2.84,￥2.99,马来酸氯苯那敏片,广东南国药业有限公司,规格：4mg*100片,效期：2022-04-30
,￥售罄,孟鲁司特钠咀嚼片,杭州默沙东制药有限公司,规格：4mg*5片,效期：
券后约 ￥4.43,￥4.66,五味子颗粒,甘肃佛仁制药科技有限公司,规格：10g*10袋,效期：2022-05-31
券后约 ￥2.33,￥2.45,卡托普利片,国药集团汕头金石制药有限公司,规格：25mg*100片(薄膜衣),效期：2022-08-31
券后约 ￥3.55,￥3.74,多潘立酮片,山西宝泰药业有限责任公司,规格：10mg*30片,效期：2023-08-31
券后约 ￥1.52,￥1.60,地巴唑片,山西省临汾健民制药厂,规格：10mg*100片,效期：2022-02-28
券后约 ￥7.89,￥8.30,顺气化痰颗粒,江苏中兴药业有限公司,规格：6g*6袋,效期：2022-01-31
券后约 ￥1.00,￥1.05,5%葡萄糖注射液,四川科伦药业股份有限公司,规格：250ml:12.5g(塑瓶),效期：2023-07-31
券后约 ￥4.07,￥4.28,注射用脑蛋白水解物(III),海南通用同盟药业有限公司委托江苏大同盟制药有限公司生产,规格：30mg                                                        ,效期：2022-05-31
券后约 ￥7.92,￥8.34,养阴清肺糖浆,国药集团新疆制药有限公司,规格：120ml,效期：2022-02-28
券后约 ￥4.37,￥4.60,氢溴酸右美沙芬片,北京天衡药物研究院南阳天衡制药厂,规格：15mg*24片,效期：2022-03-31
券后约 ￥3.32,￥3.50,苯磺酸氨氯地平片,山东鑫齐药业有限公司,规格：5mg*14片,效期：2022-09-30
券后约 ￥1.00,￥1.05,阿昔洛韦乳膏,福建太平洋制药有限公司,规格：10g(3%),效期：2022-10-31
券后约 ￥6.32,￥6.65,抗宫炎片,江西海尔思药业股份有限公司,规格：0.26g*72片(薄膜衣),效期：2023-09-23
券后约 ￥9.75,￥10.26,对乙酰氨基酚口服溶液,湖南正清制药集团股份有限公司,规格：10ml*8支,效期：2022-03-31
券后约 ￥8.07,￥8.50,维胺酯维E乳膏,重庆华邦制药有限公司,规格：0.3%*15g,效期：2022-06-30
券后约 ￥15.79,￥16.62,盐酸左西替利嗪片,重庆华邦制药有限公司,规格：5mg*15片,效期：2022-08-31
券后约 ￥2.47,￥2.60,复方丹参片,云南省曲靖药业有限公司,规格：0.26g*60片(薄膜衣),效期：2023-04-30
券后约 ￥44.70,￥47.05,乙酰半胱氨酸片,海南赞邦制药有限公司,规格：0.6g*12片,效期：2023-06-30
券后约 ￥6.95,￥7.32,止嗽扫痰丸,陕西制药有限责任公司,规格：3g*9袋(水丸),效期：2022-12-31
券后约 ￥1.10,￥1.16,羧甲司坦片,国药集团汕头金石制药有限公司,规格：250mg*12片,效期：2022-03-31
券后约 ￥6.65,￥7.00,血塞通片,昆药集团血塞通药业股份有限公司,规格：50mg(片重0.125g)*12片*2板(薄膜衣),效期：2023-04-30
券后约 ￥4.79,￥5.04,盐酸丙卡特罗片,青岛国大药业有限公司,规格：25ug*10片*2板,效期：2022-04-06
券后约 ￥2.21,￥2.33,注射用赖氨匹林,四川美大康华康药业有限公司,规格：0.9g,效期：2022-07-01
券后约 ￥7.99,￥8.41,益气养血口服液,吉林玉仁制药股份有限公司,规格：10ml*10支,效期：2023-03-17
券后约 ￥2.44,￥2.57,维生素B6片,佑华制药(乐山)有限公司,规格：10mg*100片,效期：2022-05-13
券后约 ￥2.62,￥2.76,咳特灵胶囊,广东康奇力药业股份有限公司,规格：30粒,效期：2022-02-28
券后约 ￥6.77,￥7.13,小儿清热止咳颗粒,黑龙江省济仁药业有限公司,规格：6g*10袋,效期：2023-03-31
券后约 ￥6.46,￥6.80,双黄连口服液,黑龙江省林宝药业有限责任公司,规格：10ml*8支,效期：2022-01-31
券后约 ￥2.49,￥2.62,消炎利胆片,广西泰诺制药有限公司(原石药控股集团广西泰诺制药有限公司),规格：0.24g*100片(薄膜衣),效期：2022-07-31
券后约 ￥3.82,￥4.02,茶碱缓释片,广州迈特兴华制药厂有限公司,规格：100mg*24片,效期：2022-07-31
券后约 ￥1.72,￥1.81,复方对乙酰氨基酚片,贵州缔谊健康制药有限公司,规格：15片,效期：2023-02-28
券后约 ￥3.40,￥3.58,止咳宁嗽胶囊,吉林省银诺克药业有限公司(原长春银诺克药业有限公司),规格：0.25g*15粒*2板,效期：2023-04-20
券后约 ￥13.82,￥14.55,参术儿康糖浆,通化仁民药业股份有限公司,规格：10ml*14支,效期：2023-08-31
券后约 ￥8.46,￥8.90,氯化钾缓释片,上海海虹实业(集团)巢湖今辰药业有限公司,规格：0.5g*48片(糖衣),效期：2022-07-31
券后约 ￥2.21,￥2.33,咳特灵胶囊,吉林省长恒药业有限公司,规格：20粒,效期：2023-08-31
券后约 ￥1.49,￥1.57,0.9%氯化钠注射液,四川科伦药业股份有限公司,规格：500ml:4.5g(塑瓶)(输液),效期：2023-06-30
券后约 ￥147.91,￥155.70,阿胶,河北东汝阿胶制药股份有限公司,规格：250g（木盒）,效期：2025-05-31
券后约 ￥3.13,￥3.30,盐酸氟桂利嗪胶囊,山西津华晖星制药有限公司,规格：5mg*60粒,效期：2024-04-30
券后约 ￥6.46,￥6.80,小柴胡颗粒,四川逢春制药有限公司,规格：10g*20袋,效期：2021-10-31
券后约 ￥4.66,￥4.90,清热散结片,广东省惠州市中药厂有限公司,规格：20片*3板(糖衣),效期：2022-06-30
券后约 ￥4.10,￥4.32,穿王消炎胶囊,四川森科制药有限公司,规格：0.22g*12粒*2板,效期：2022-02-28
券后约 ￥5.79,￥6.10,肠胃宁片,云南腾冲东方红制药有限公司,规格：0.3g*15片*2板,效期：2023-06-30
券后约 ￥1.04,￥1.09,维生素C注射液,遂成药业股份有限公司,规格：2ml:0.5g*10支,效期：2022-08-31
券后约 ￥2.35,￥2.47,氨基比林咖啡因片,吉林省银河制药有限公司,规格：100片,效期：2022-08-31
券后约 ￥5.51,￥5.80,九味羌活丸,甘肃佛仁制药科技有限公司,规格：6g*10袋,效期：2022-08-31
券后约 ￥1.20,￥1.26,鲜竹沥,江西民济药业有限公司,规格：10ml*6支,效期：2022-03-31
券后约 ￥2.56,￥2.69,小儿麻甘颗粒,云南楚雄云中制药有限责任公司,规格：2.5g*12袋,效期：2023-02-28
券后约 ￥1.36,￥1.43,红霉素软膏,国药集团三益药业(芜湖)有限公司,规格：10g(1%),效期：2025-04-30
券后约 ￥4.45,￥4.68,清眩片,云南龙发制药股份有限公司,规格：0.55g*12片*2板,效期：2022-01-31
券后约 ￥4.33,￥4.56,酒石酸美托洛尔片,湖南威特制药股份有限公司/湖南威特制药股份有限公司,规格：25mg*15片*2板                                               ,效期：2022-07-31
券后约 ￥3.32,￥3.50,替硝唑片,山东鲁抗医药集团赛特有限责任公司,规格：0.5g*8片,效期：2022-06-09
券后约 ￥5.51,￥5.80,百消膏皮肤消毒剂,百草堂医药股份有限公司(原广东百草堂药业股份有限公司),规格：10g,效期：2022-08-31
券后约 ￥3.23,￥3.40,复方感冒灵片,广州诺金制药有限公司,规格：100片(薄膜衣)(精装),效期：2022-08-31
券后约 ￥5.88,￥6.19,参苓白术散,甘肃佛仁制药科技有限公司,规格：3g*10袋,效期：2021-12-31
券后约 ￥6.55,￥6.90,荨麻疹丸,吉林龙泰制药股份有限公司,规格：10g*6袋,效期：2023-08-31
券后约 ￥4.97,￥5.23,五味子颗粒,甘肃佛仁制药科技有限公司,规格：10g*12袋,效期：2022-08-31
券后约 ￥1.00,￥1.05,5%葡萄糖氯化钠注射液,山东科伦药业有限公司委托四川科伦药业股份有限公司生产,规格：250ml:12.5g*2.25g(塑瓶)(40瓶/件),效期：2022-06-30
券后约 ￥4.07,￥4.28,阿司匹林肠溶片,沈阳奥吉娜药业有限公司,规格：100mg*24片,效期：2023-04-30
券后约 ￥2.78,￥2.93,头孢克肟分散片,广东华南药业集团有限公司/广东众生药业股份有限公司,规格：0.1g*6片,效期：2022-09-11
券后约 ￥0.51,￥0.54,开塞露(含甘油),太康海恩药业有限公司,规格：20ml                                                        ,效期：2023-05-31
券后约 ￥15.31,￥16.12,氯霉素片,远大医药(中国)有限公司,规格：0.25g*100片(薄膜衣),效期：2023-05-31
券后约 ￥5.60,￥5.89,清肺抑火丸,甘肃佛仁制药科技有限公司,规格：6g*10袋,效期：2022-07-31
券后约 ￥3.61,￥3.80,头孢克洛胶囊,华北制药河北华民药业有限责任公司,规格：0.25g*6粒,效期：2021-12-31
券后约 ￥2.56,￥2.70,盐酸氨溴索颗粒,上海华源安徽仁济制药有限公司,规格：30mg*8袋,效期：2022-05-14
券后约 ￥5.61,￥5.90,羚羊感冒胶囊,安国市天下康制药有限公司,规格：0.42g*12粒,效期：2022-09-30
券后约 ￥16.57,￥17.44,抗感颗粒,四川好医生攀西药业有限责任公司,规格：5g*9袋(儿童装),效期：2022-03-06
,￥售罄,风寒感冒颗粒,山东孔府制药有限公司,规格：8g*10袋(含蔗糖),效期：
券后约 ￥5.13,￥5.40,牛黄蛇胆川贝液,江西南昌桑海制药有限责任公司(原江西南昌桑海制药厂),规格：10ml*6支,效期：2021-11-30
券后约 ￥42.27,￥44.50,枸橼酸西地那非片,广州白云山医药集团股份有限公司白云山制药总厂,规格：50mg*2片,效期：2023-04-30
券后约 ￥5.37,￥5.65,抗病毒口服液,上海六合堂生物科技项城制药有限公司,规格：10ml*10支,效期：2022-02-28
券后约 ￥3.75,￥3.95,肺气肿片,广东万方制药有限公司,规格：0.3g*12片*2板,效期：2022-07-31
券后约 ￥3.04,￥3.20,双氯芬酸钠缓释片,四川华新制药有限公司,规格：0.1g*10片(240盒/件)(薄膜衣),效期：2023-03-31
券后约 ￥1.36,￥1.43,牛黄解毒片,湖北仁悦药业股份有限公司,规格：12片*2板(薄膜衣),效期：2023-08-31
券后约 ￥9.69,￥10.20,生脉注射液,国药集团宜宾制药有限责任公司,规格：10ml*10支,效期：2021-08-31
券后约 ￥5.61,￥5.91,多酶片,四川依科制药有限公司,规格：100片,效期：2022-08-31
券后约 ￥2.53,￥2.66,丹参舒心胶囊,焦作福瑞堂制药有限公司,规格：0.3g*12粒*2板,效期：2022-06-30
券后约 ￥4.12,￥4.34,枇杷止咳颗粒,江西品信药业有限公司,规格：3g*12袋,效期：2021-12-31
券后约 ￥5.87,￥6.18,清开灵口服液,山西太行药业股份有限公司,规格：10ml*6支,效期：2022-10-31
券后约 ￥2.28,￥2.40,维生素E软胶囊,海南海神同洲制药有限公司,规格：0.1g*15粒*2板,效期：2023-08-31
券后约 ￥5.62,￥5.92,刺五加颗粒,吉林省通化博祥药业股份有限公司,规格：10g*11袋,效期：2023-09-30
券后约 ￥14.07,￥14.81,醋酸泼尼松片,山东鲁抗医药集团赛特有限责任公司,规格：5mg*1000片,效期：2023-01-09
券后约 ￥8.58,￥9.03,参芪五味子片,康县独一味生物制药有限公司,规格：0.25g*50片,效期：2022-06-30
券后约 ￥10.52,￥11.07,益气养血口服液,吉林龙泰制药股份有限公司,规格：10ml*14支,效期：2023-01-31
券后约 ￥184.30,￥194.00,伏立康唑胶囊,四川美大康华康药业有限公司,规格：50mg*8粒,效期：2022-05-17
券后约 ￥7.68,￥8.08,复方羊角颗粒,甘肃佛仁制药科技有限公司,规格：8g*20袋,效期：2022-04-30
